"filename", "language", "C++", "Ini", "comment", "blank", "total"
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\BTManager.hpp", "C++", 14, 0, 1, 3, 18
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\FirebaseHandler.hpp", "C++", 21, 0, 1, 5, 27
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\IR_Receiver.hpp", "C++", 17, 0, 0, 4, 21
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\Prefs.hpp", "C++", 22, 0, 0, 4, 26
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\RTDB_Path.hpp", "C++", 5, 0, 9, 4, 18
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\UniqueIdentifiers.hpp", "C++", 4, 0, 9, 6, 19
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\WiFiHandler.hpp", "C++", 9, 0, 3, 5, 17
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\eeprom_manager.hpp", "C++", 20, 0, 11, 14, 45
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\platformio.ini", "Ini", 0, 9, 11, 2, 22
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\BTManager.cpp", "C++", 39, 0, 2, 16, 57
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\FirebaseHandler.cpp", "C++", 100, 0, 17, 38, 155
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\IR_Receiver.cpp", "C++", 101, 0, 25, 44, 170
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\Prefs.cpp", "C++", 42, 0, 4, 19, 65
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\WiFiHandler.cpp", "C++", 28, 0, 9, 11, 48
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\eeprom_manager.cpp", "C++", 24, 0, 28, 22, 74
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\main.cpp", "C++", 197, 0, 77, 85, 359
"Total", "-", 643, 9, 207, 282, 1141
